"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/13/2017","AQS","450030003","2","0.027","ppm","25","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/14/2017","AQS","450030003","2","0.036","ppm","33","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/15/2017","AQS","450030003","2","0.045","ppm","42","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/16/2017","AQS","450030003","2","0.048","ppm","44","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/17/2017","AQS","450030003","2","0.053","ppm","49","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/18/2017","AQS","450030003","2","0.043","ppm","40","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/19/2017","AQS","450030003","2","0.042","ppm","39","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/20/2017","AQS","450030003","2","0.051","ppm","47","JACKSON MIDDLE SCHOOL","13","76.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/21/2017","AQS","450030003","2","0.051","ppm","47","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/22/2017","AQS","450030003","2","0.047","ppm","44","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/23/2017","AQS","450030003","2","0.051","ppm","47","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/24/2017","AQS","450030003","2","0.052","ppm","48","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/25/2017","AQS","450030003","2","0.045","ppm","42","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/26/2017","AQS","450030003","2","0.042","ppm","39","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/27/2017","AQS","450030003","2","0.04","ppm","37","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/28/2017","AQS","450030003","2","0.043","ppm","40","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/29/2017","AQS","450030003","2","0.057","ppm","58","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/30/2017","AQS","450030003","2","0.044","ppm","41","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/31/2017","AQS","450030003","2","0.049","ppm","45","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/01/2017","AQS","450030003","2","0.05","ppm","46","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/02/2017","AQS","450030003","2","0.051","ppm","47","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/03/2017","AQS","450030003","2","0.041","ppm","38","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/04/2017","AQS","450030003","2","0.051","ppm","47","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/05/2017","AQS","450030003","2","0.034","ppm","31","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/06/2017","AQS","450030003","2","0.045","ppm","42","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/07/2017","AQS","450030003","2","0.047","ppm","44","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/08/2017","AQS","450030003","2","0.053","ppm","49","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/09/2017","AQS","450030003","2","0.054","ppm","50","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/10/2017","AQS","450030003","2","0.054","ppm","50","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/11/2017","AQS","450030003","2","0.05","ppm","46","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/12/2017","AQS","450030003","2","0.045","ppm","42","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/13/2017","AQS","450030003","2","0.053","ppm","49","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/14/2017","AQS","450030003","2","0.045","ppm","42","JACKSON MIDDLE SCHOOL","13","76.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/15/2017","AQS","450030003","2","0.054","ppm","50","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/16/2017","AQS","450030003","2","0.051","ppm","47","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/17/2017","AQS","450030003","2","0.046","ppm","43","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/18/2017","AQS","450030003","2","0.043","ppm","40","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/19/2017","AQS","450030003","2","0.038","ppm","35","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/20/2017","AQS","450030003","2","0.04","ppm","37","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/21/2017","AQS","450030003","2","0.047","ppm","44","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/22/2017","AQS","450030003","2","0.047","ppm","44","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/23/2017","AQS","450030003","2","0.036","ppm","33","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/24/2017","AQS","450030003","2","0.017","ppm","16","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/25/2017","AQS","450030003","2","0.036","ppm","33","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/26/2017","AQS","450030003","2","0.052","ppm","48","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/27/2017","AQS","450030003","2","0.031","ppm","29","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/28/2017","AQS","450030003","2","0.039","ppm","36","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/29/2017","AQS","450030003","2","0.032","ppm","30","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"04/30/2017","AQS","450030003","2","0.025","ppm","23","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/01/2017","AQS","450030003","2","0.027","ppm","25","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/02/2017","AQS","450030003","2","0.053","ppm","49","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/03/2017","AQS","450030003","2","0.053","ppm","49","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/04/2017","AQS","450030003","2","0.048","ppm","44","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/05/2017","AQS","450030003","2","0.034","ppm","31","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/06/2017","AQS","450030003","2","0.051","ppm","47","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/07/2017","AQS","450030003","2","0.048","ppm","44","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/08/2017","AQS","450030003","2","0.053","ppm","49","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/09/2017","AQS","450030003","2","0.055","ppm","51","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/10/2017","AQS","450030003","2","0.061","ppm","71","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/11/2017","AQS","450030003","2","0.058","ppm","61","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/12/2017","AQS","450030003","2","0.047","ppm","44","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/13/2017","AQS","450030003","2","0.031","ppm","29","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/14/2017","AQS","450030003","2","0.05","ppm","46","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/15/2017","AQS","450030003","2","0.057","ppm","58","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/16/2017","AQS","450030003","2","0.056","ppm","54","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/17/2017","AQS","450030003","2","0.047","ppm","44","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/18/2017","AQS","450030003","2","0.043","ppm","40","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/19/2017","AQS","450030003","2","0.045","ppm","42","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/20/2017","AQS","450030003","2","0.027","ppm","25","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/21/2017","AQS","450030003","2","0.031","ppm","29","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/22/2017","AQS","450030003","2","0.031","ppm","29","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/23/2017","AQS","450030003","2","0.028","ppm","26","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/24/2017","AQS","450030003","2","0.033","ppm","31","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/25/2017","AQS","450030003","2","0.043","ppm","40","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/26/2017","AQS","450030003","2","0.049","ppm","45","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"05/27/2017","AQS","450030003","2","0.052","ppm","48","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
